rank,name,country_name,count,Australian Open,French Open,Wimbledon,US Open
1,Novak Djokovic,Serbia,24,10,3,7,4
2,Rafael Nadal,Spain,22,2,14,2,4
3,Roger Federer,Switzerland,20,6,1,8,5
4,Pete Sampras,United States,14,2,0,7,5
5,Bjorn Borg,Sweden,11,0,6,5,0
6,Jimmy Connors,United States,8,1,0,2,5
6,Ivan Lendl,United States,8,2,3,0,3
6,Andre Agassi,United States,8,4,1,1,2
9,John McEnroe,United States,7,0,0,3,4
9,Mats Wilander,Sweden,7,3,3,0,1
11,Stefan Edberg,Sweden,6,2,0,2,2
11,Boris Becker,Germany,6,2,0,3,1
13,Rod Laver,Australia,5,1,1,2,1
13,John Newcombe,Australia,5,2,0,2,1
15,Ken Rosewall,Australia,4,2,1,0,1
15,Guillermo Vilas,Argentina,4,2,1,0,1
15,Jim Courier,United States,4,2,2,0,0
18,Jan Kodes,Czech Republic,3,0,2,1,0
18,Arthur Ashe,United States,3,0,0,1,1
18,Gustavo Kuerten,Brazil,3,0,3,0,0
18,Andy Murray,United Kingdom,3,0,0,2,1
18,Stan Wawrinka,Switzerland,3,1,1,0,1
23,Stan Smith,United States,2,0,0,1,1
23,Ilie Nastase,Romania,2,0,1,0,1
23,Johan Kriek,United States,2,2,0,0,0
23,Sergi Bruguera,Spain,2,0,2,0,0
23,Patrick Rafter,Australia,2,0,0,0,2
23,Yevgeny Kafelnikov,Russian Federation,2,1,1,0,0
23,Lleyton Hewitt,Australia,2,0,0,1,1
23,Marat Safin,Russian Federation,2,1,0,0,1
23,Carlos Alcaraz Garfia,Spain,2,0,0,1,1
32,Bill Bowrey,Australia,1,1,0,0,0
32,Andres Gimeno,Spain,1,0,1,0,0
32,Manuel Orantes,Spain,1,0,1,0,0
32,Mark Edmondson,Australia,1,1,0,0,0
32,Adriano Panatta,Italy,1,0,1,0,0
32,Roscoe Tanner,United States,1,0,0,0,1
32,Vitas Gerulaitis,United States,1,1,0,0,0
32,Brian Teacher,United States,1,1,0,0,0
32,Yannick Noah,France,1,0,1,0,0
32,Pat Cash,Australia,1,0,0,1,0
32,Michael Chang,United States,1,0,1,0,0
32,Andres Gomez,Ecuador,1,0,1,0,0
32,Michael Stich,Germany,1,0,0,1,0
32,Thomas Muster,Austria,1,0,1,0,0
32,Richard Krajicek,Netherlands,1,0,0,1,0
32,Petr Korda,Czech Republic,1,1,0,0,0
32,Carlos Moya,Spain,1,0,1,0,0
32,Goran Ivanisevic,Croatia,1,0,0,1,0
32,Thomas Johansson,Sweden,1,1,0,0,0
32,Albert Costa,Spain,1,0,1,0,0
32,Juan Carlos Ferrero,Spain,1,0,1,0,0
32,Andy Roddick,United States,1,0,0,0,1
32,Gaston Gaudio,Argentina,1,0,1,0,0
32,Juan Martin Del Potro,Argentina,1,0,0,0,1
32,Marin Cilic,Croatia,1,0,0,0,1
32,Dominic Thiem,Austria,1,0,0,0,1
32,Daniil Medvedev,Russian Federation,1,0,0,0,1