player1_name,player2_name,matches
Novak Djokovic,Rafael Nadal,18
Novak Djokovic,Roger Federer,17
Roger Federer,Rafael Nadal,14
Novak Djokovic,Andy Murray,10
Ivan Lendl,John McEnroe,10
Roger Federer,Tomas Berdych,10
Pete Sampras,Andre Agassi,9
Ivan Lendl,Mats Wilander,9
Jimmy Connors,John McEnroe,9
Ivan Lendl,Stefan Edberg,9
Novak Djokovic,Stan Wawrinka,9
Rafael Nadal,Andy Murray,9
Jimmy Connors,Bjorn Borg,8
Roger Federer,Andy Roddick,8
Pete Sampras,Jim Courier,8
Roger Federer,Lleyton Hewitt,8
Novak Djokovic,Jo Wilfried Tsonga,8
Roger Federer,Stan Wawrinka,8
Jimmy Connors,Ivan Lendl,7
Roger Federer,Juan Martin Del Potro,7
Rafael Nadal,Juan Martin Del Potro,7
Rafael Nadal,David Ferrer,7
Andre Agassi,Patrick Rafter,7
Pete Sampras,Todd Martin,7
Novak Djokovic,Kei Nishikori,7
Andy Murray,Stan Wawrinka,7
Pete Sampras,Mark Philippoussis,7
Roger Federer,Andy Murray,6
Ivan Lendl,Boris Becker,6
Stefan Edberg,Jim Courier,6
Ken Rosewall,John Newcombe,6
Rafael Nadal,Dominic Thiem,6
Roger Federer,Marin Cilic,6
Ivan Lendl,Pat Cash,6
Bjorn Borg,Roscoe Tanner,6
Andre Agassi,Jim Courier,6
Roger Federer,Nikolay Davydenko,6
Roger Federer,Robin Soderling,6
Novak Djokovic,Tomas Berdych,6
Roger Federer,Jo Wilfried Tsonga,6
Rafael Nadal,Robin Soderling,6
Rafael Nadal,Diego Sebastian Schwartzman,6
Lleyton Hewitt,Andy Roddick,6
Roger Federer,David Nalbandian,6
Ivan Lendl,Tim Mayotte,6
Roger Federer,Tommy Robredo,6
Rafael Nadal,Mikhail Youzhny,6
Rafael Nadal,Richard Gasquet,6
Novak Djokovic,Fernando Verdasco,6
Rafael Nadal,Lleyton Hewitt,6
Pete Sampras,Goran Ivanisevic,5
Stefan Edberg,Mats Wilander,5
Bjorn Borg,Vitas Gerulaitis,5
Andre Agassi,Boris Becker,5
John McEnroe,Mats Wilander,5
Novak Djokovic,David Ferrer,5
Andre Agassi,Yevgeny Kafelnikov,5
Ken Rosewall,Tony Roche,5
Roger Federer,Marat Safin,5
Pete Sampras,Michael Chang,5
Rafael Nadal,Tomas Berdych,5
Andre Agassi,Todd Martin,5
Stefan Edberg,Michael Chang,5
John Newcombe,Tony Roche,5
Novak Djokovic,Juan Martin Del Potro,5
Mats Wilander,Pat Cash,5
Jimmy Connors,Roscoe Tanner,5
Andy Murray,David Ferrer,5
Andre Agassi,Michael Chang,5
Marin Cilic,Kei Nishikori,5
Roger Federer,Gael Monfils,5
Andy Murray,Jo Wilfried Tsonga,5
Andy Murray,Marin Cilic,5
Novak Djokovic,Marin Cilic,5
Ivan Lendl,Andres Gomez,5
Novak Djokovic,Gael Monfils,5
Roger Federer,Mario Ancic,5
Roger Federer,Richard Gasquet,5
Rafael Nadal,Nicolas Almagro,5
Juan Martin Del Potro,Marin Cilic,5
Andy Murray,Richard Gasquet,5
Novak Djokovic,Lleyton Hewitt,5
Pete Sampras,Karol Kucera,5
Roger Federer,Mikhail Youzhny,5
Andy Murray,Fernando Verdasco,5
Goran Ivanisevic,Todd Martin,5
Jim Courier,Thomas Muster,5
Novak Djokovic,Philipp Kohlschreiber,5
Tomas Berdych,Kevin Anderson,5
Stan Smith,Dick Crealy,5
Andy Murray,Juan Ignacio Chela,5
Pete Sampras,Mikael Tillstrom,5
Gael Monfils,Richard Gasquet,5
Novak Djokovic,Radek Stepanek,5
Andreas Seppi,Denis Istomin,5
Novak Djokovic,Jeremy Chardy,5
Roger Federer,Alejandro Falla,5
Roger Federer,Tommy Haas,5