Index,Player1 Name,Player2 Name,Matches
1,Andre Agassi,Yevgeny Kafelnikov,5
2,Andre Agassi,Todd Martin,5
3,Andre Agassi,Patrick Rafter,7
4,Andre Agassi,Michael Chang,5
5,Andre Agassi,Jim Courier,6
6,Andre Agassi,Boris Becker,5
7,Andreas Seppi,Denis Istomin,5
8,Andy Murray,Stan Wawrinka,7
9,Andy Murray,Richard Gasquet,5
10,Andy Murray,Marin Cilic,5
11,Andy Murray,Juan Ignacio Chela,5
12,Andy Murray,Jo Wilfried Tsonga,5
13,Andy Murray,Fernando Verdasco,5
14,Andy Murray,David Ferrer,5
15,Bjorn Borg,Vitas Gerulaitis,5
16,Bjorn Borg,Roscoe Tanner,6
17,Gael Monfils,Richard Gasquet,5
18,Goran Ivanisevic,Todd Martin,5
19,Ivan Lendl,Tim Mayotte,6
20,Ivan Lendl,Stefan Edberg,9
21,Ivan Lendl,Pat Cash,6
22,Ivan Lendl,Mats Wilander,9
23,Ivan Lendl,John McEnroe,10
24,Ivan Lendl,Boris Becker,6
25,Ivan Lendl,Andres Gomez,5
26,Jim Courier,Thomas Muster,5
27,Jimmy Connors,Roscoe Tanner,5
28,Jimmy Connors,John McEnroe,9
29,Jimmy Connors,Ivan Lendl,7
30,Jimmy Connors,Bjorn Borg,8
31,John McEnroe,Mats Wilander,5
32,John Newcombe,Tony Roche,5
33,Juan Martin Del Potro,Marin Cilic,5
34,Ken Rosewall,Tony Roche,5
35,Ken Rosewall,John Newcombe,6
36,Lleyton Hewitt,Andy Roddick,6
37,Marin Cilic,Kei Nishikori,5
38,Mats Wilander,Pat Cash,5
39,Novak Djokovic,Tomas Berdych,6
40,Novak Djokovic,Stan Wawrinka,9
41,Novak Djokovic,Roger Federer,17
42,Novak Djokovic,Rafael Nadal,18
43,Novak Djokovic,Radek Stepanek,5
44,Novak Djokovic,Philipp Kohlschreiber,5
45,Novak Djokovic,Marin Cilic,5
46,Novak Djokovic,Lleyton Hewitt,5
47,Novak Djokovic,Kei Nishikori,7
48,Novak Djokovic,Juan Martin Del Potro,5
49,Novak Djokovic,Jo Wilfried Tsonga,8
50,Novak Djokovic,Jeremy Chardy,5
51,Novak Djokovic,Gael Monfils,5
52,Novak Djokovic,Fernando Verdasco,6
53,Novak Djokovic,David Ferrer,5
54,Novak Djokovic,Andy Murray,10
55,Pete Sampras,Todd Martin,7
56,Pete Sampras,Mikael Tillstrom,5
57,Pete Sampras,Michael Chang,5
58,Pete Sampras,Mark Philippoussis,7
59,Pete Sampras,Karol Kucera,5
60,Pete Sampras,Jim Courier,8
61,Pete Sampras,Goran Ivanisevic,5
62,Pete Sampras,Andre Agassi,9
63,Rafael Nadal,Tomas Berdych,5
64,Rafael Nadal,Robin Soderling,6
65,Rafael Nadal,Richard Gasquet,6
66,Rafael Nadal,Nicolas Almagro,5
67,Rafael Nadal,Mikhail Youzhny,6
68,Rafael Nadal,Lleyton Hewitt,6
69,Rafael Nadal,Juan Martin Del Potro,7
70,Rafael Nadal,Dominic Thiem,6
71,Rafael Nadal,Diego Sebastian Schwartzman,6
72,Rafael Nadal,David Ferrer,7
73,Rafael Nadal,Andy Murray,9
74,Roger Federer,Tommy Robredo,6
75,Roger Federer,Tommy Haas,5
76,Roger Federer,Tomas Berdych,10
77,Roger Federer,Stan Wawrinka,8
78,Roger Federer,Robin Soderling,6
79,Roger Federer,Richard Gasquet,5
80,Roger Federer,Rafael Nadal,14
81,Roger Federer,Nikolay Davydenko,6
82,Roger Federer,Mikhail Youzhny,5
83,Roger Federer,Mario Ancic,5
84,Roger Federer,Marin Cilic,6
85,Roger Federer,Marat Safin,5
86,Roger Federer,Lleyton Hewitt,8
87,Roger Federer,Juan Martin Del Potro,7
88,Roger Federer,Jo Wilfried Tsonga,6
89,Roger Federer,Gael Monfils,5
90,Roger Federer,David Nalbandian,6
91,Roger Federer,Andy Roddick,8
92,Roger Federer,Andy Murray,6
93,Roger Federer,Alejandro Falla,5
94,Stan Smith,Dick Crealy,5
95,Stefan Edberg,Michael Chang,5
96,Stefan Edberg,Mats Wilander,5
97,Stefan Edberg,Jim Courier,6
98,Tomas Berdych,Kevin Anderson,5